father,abum,"Part of Speech: noun
Hebrew Cognate: אָב (father)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
"town, city",ālum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
female slave,amtum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
"lord, master, owner",bēlum,"Part of Speech: noun
Hebrew Cognate: בַּ֫עַל (lord, master; Baal)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
gold,ḫurāṣum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
goddess,iltum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
god,ilum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
silver,kaspum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
daughter,mārtum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
son,mārum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
"head, top",qaqqadum,"Part of Speech: noun
Hebrew Cognate: קָדְקֹד (crown, skull)
Additional Meanings: person, principle (amount)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
person,qaqqadum,"Part of Speech: noun
Hebrew Cognate: קָדְקֹד (crown, skull)
Additional Meanings: head, top, principle (amount)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
principle (amount),qaqqadum,"Part of Speech: noun
Hebrew Cognate: קָדְקֹד (crown, skull)
Additional Meanings: head, top, person","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
"gang, army, troop(s); soldier, worker",ṣābum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
queen,šarratum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
king,šarrum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
male slave,wardum,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
and,u,Part of Speech: conjunction,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
