abum,father,"Part of Speech: noun
Hebrew Cognate: אָב (father)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
ālum,"town, city",Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
amtum,female slave,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
bēlum,"lord, master, owner","Part of Speech: noun
Hebrew Cognate: בַּ֫עַל (lord, master; Baal)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
ḫurāṣum,gold,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
iltum,goddess,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
ilum,god,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
kaspum,silver,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
mārtum,daughter,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
mārum,son,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
qaqqadum (3 answers),"head, top
person
principle (amount)","Part of Speech: noun
Hebrew Cognate: קָדְקֹד (crown, skull)","A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
ṣābum,"gang, army, troop(s); soldier, worker",Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
šarratum,queen,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
šarrum,king,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
wardum,male slave,Part of Speech: noun,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
u,and,Part of Speech: conjunction,"A Grammar Of Akkadian Third Edition by John Huehnergard, Lesson 1",Akkadian Akkadian∷Lesson1 Akkadian∷Vocabulary Vocabulary
